,Airport_code,Airport_name,Airport_address,Airport_description
1028,uln,Chinggis Khaan International Airport,Ulaanbaatar Mongolia,"Opened in 1957 as Buyant-Ukhaa Airport, Chinggis Khaan International was renamed in 2005 after Genghis Khan and in honor of the Mongolian state’s 800th anniversary. Its airport code comes from its home city of Ulaanbaatar."
1029,upg,Bandar Udara Internasional Sultan Hasanuddin,Makassar Indonesia,Sultan Hasanuddin International is the busiest airport in South Sulawesi and serves the city of Makassar. Its airport code comes from the city’s former name: Ujung Pandang.
1030,ura,Oral Ak Zhol Airport,Oral Kazakhstan,"Oral Ak Zhol Airport is located in the city of Oral, also called Uralsk in Russian. The airport was formerly named Uralsk Ak Zhol."
1031,ush,Aeropuerto Internacional de Ushuaia Malvinas Argentinas,Ushuaia Argentina,Ushuaia International’s full name reflects Argentina’s claim of sovereignty over the Falkland Islands (Islas Malvinas). Its airport code reflects its home in the city of Ushuaia.
1032,usm,Samui International Airport,Ko Samui  Thailand,"Samui International opened in 1989 and, except for its gift shop, is entirely outdoors. Its airport code USM is a combination of letters from the island of Ko Samui where it’s located."
1033,uth,Udon Thani International Airport,Udon Thani Thailand,"Used as Udorn Royal Thai Air Force Base during the Vietnam War, Udon Thani International gets its three-letter code from its home in the city of Udon Thani."
1034,uud,Baikal International Airport,Ulan-Ude Russia,"Now named after Lake Baikal, Baikal International was once named after its home in the city of Ulan-Ude."
1035,uus,Yuzhno-Sakhalinsk Airport,Yuzhno-Sakhalinsk Russia,"Started in 1945 as a military airfield, Yuzhno-Sakhalinsk Airport serves the city of Yuzhno-Sakhalinsk. Its code is completed by a second letter ‘U’, used as a filler letter."
1036,uvf,Hewanorra International Airport,Vieux Fort Saint Lucia,"Formerly Beane Army Airfield, Hewanorra International bears the island’s former name of Hewanorra. Two of its code’s letters come from the city of Vieux Fort. The ‘U’ could come from Saint Lucia, but is likely a filler letter."
1037,vam,Villa International Airport Maamigili,Maamigili Maldives,"Developed by Maldivian businessman Qasim Ibrahim, Maamigili’s international airport gets its airport code from its full name: Villa International Airport Maamigili."
1038,var,Letishte Varna,Varna Bulgaria,"Built in 1946 to replace the small Tihina Airport, Varna Airport is located near the town of Aksakovo."
1039,vav,Vava’u International Airport,Vava’u Tonga,"Also known as Lupepau’u  Airport, Vava’u International is a main tourist hub for Tonga, especially during whale migration season. Its three-letter code comes from the city name of Vava’u."
1040,vca,Sân bay Quốc tế Cần Thơ,Can Tho Vietnam,"Built by the U.S. Air Force during the Vietnam War and previously called Tra Noc Airport, Can Tho International opened commercially in 2008. It gets its airport code from its country and city of Vietnam, Can Tho."
1041,vce,Aeroporto di Venezia Marco Polo,Venice Italy,Marco Polo Airport shares its name with the famous Venetian merchant traveler. Its airport code comes from its home city of Venice.
1042,vcl,Sân bay Chu Lai,Tam Ky Vietnam,"Built by the U.S. Navy during the Vietnam War, Chu Lai Airport opened commercially in 2005. It serves Tam Ky, but gets its airport code from its country and city of Vietnam, Chu Lai."
1043,vcp,Aeroporto Internacional de Viracopos/Campinas,Campinas SP Brazil,"Viracopos/Campinas International Airport is sometimes referred to as São Paulo/Campinas, and is named after the neighborhood where it is located."
1044,vcs,Sân bay Côn Đảo,Con Dao Vietnam,"Con Dao Airport is located in the archipelago of Con Dao, but gets its three-letter code from its country and island of Vietnam, Con Son Island."
1045,vde,Aeropuerto de El Hierro,El Hierro Spain,"Inaugurated in 1972, El Hierro Airport is located on the island of El Hierro and gets its three-letter code from the nearby city of Valverde."
1046,vdh,Sân bay Đồng Hới,Dong Hoi Vietnam,"Dong Hoi Airport gets its three-letter code from its home country and city of Vietnam, Dong Hoi."
1047,vgo,Aeropuerto de Vigo,Vigo Spain,"Opened in 1954, Vigo Airport gets its three-letter code from its home in the city of Vigo."
1048,vgt,North Las Vegas Airport,Las Vegas NV USA,"Originally Sky Haven Airport, North Las Vegas Airport opened December 7, 1941, the same day as the attack on Peark Harbor. In 1968, It was renamed North Las Vegas Air Terminal."
1049,vie,Flughafen Wien-Schwechat,Vienna Austria,"Austria’s largest airport is actually located in the town of Schwechat, but gets its airport code from the nearby capital city of Vienna."
