,Airport_code,Airport_name,Airport_address,Airport_description
399,gsp,Greenville–Spartanburg International Airport,Greenville SC USA,"Located in Greer and often called Roger Milliken Field, Greenville–Spartanburg International’s code comes from Greenville and Spartanburg, the two cities it serves."
400,gst,Gustavus Airport,Gustavus AK USA,"There are no roads to the small city of GuSTavus, so the only way in is by plane or boat."
401,gtr,Golden Triangle Regional Airport,Columbus MS USA,"Golden Triangle Regional Airport serves the Golden Triangle region of Mississippi, made by the three cities of Columbus, Starkville, and West Point."
402,gua,Aeropuerto Internacional La Aurora,Guatemala City Guatemala,"La Aurora International was developed as Guatemala City Air Base by the U.S. Army Air Forces during World War II. In 1949, the base was closed and handed over to Guatemala. Today it is the primary airport in Guatemala."
403,guc,Gunnison–Crested Butte Regional Airport,Gunnison CO USA,Gunnison–Crested Butte Regional Airport is a county-owned public airport that serves the Gunnison County valley and nearby Crested Butte ski resort in Colorado.
404,gum,Antonio B. Won Pat International Airport,Barrigada and Tamuning USA,"Originally built in 1943 by the Japanese Navy, Antonio B. Won Pat International gets its airport code from its home on the island of Guam."
405,gur,Gurney Airport,Alotau Papua New Guinea,"Originally built by the U.S. Army during World War II, Gurney Airport was named after RAAF Squadron Leader C.R. Gurney and now serves the city of Alotau."
406,guw,ATMA Atyrau Airport,Atyrau Kazakhstan,"Atyrau Airport is the lowest commercial aiport in the world at 22m below sea level. Its three-letter code comes from the city’s former name of Guryev, with a ‘W’ replacing the letter ‘V’."
407,gva,Aéroport international de Genève,Geneva Switzerland,"Started in 1919, Geneva International is partially located in both the municipalities of Meyrin and Le Grand-Saconnex. Its airport code comes from the city it serves, Geneva."
408,gyd,Heydar Aliyev International Airport,Baku Azerbaijan,"In 2004, Baku’s airport was renamed and changed its airport code from BAK to GYD in honor of former Azerbaijan President Heydar Aliyev, sometimes spelled Gaydar Aliev."
409,gye,Aeropuerto Internacional José Joaquín de Olmedo,Guayaquil Ecuador,"José Joaquín de Olmedo International is named after former President José Joaquín de Olmedo. Its airport code comes from its home in the city of Guayaquil, Ecuador."
410,gyn,Aeroporto Internacional Santa Genoveva,Goiânia GO Brazil,"Inaugurated in 1955, Santa Genoveva International is named after Genoveva Torres Morales and its code comes from Goiânia. The ‘Y’ could come from Goyaz, Goiás state’s former name, but it is likely a filler letter."
411,gza,Yasser Arafat International Airport,Gaza Palestine,"Opened in 1998, Yasser Arafat International was closed and abandoned in 2000 after its radar station and control tower were bombed. Its airport code comes from its home in the Gaza Strip."
412,hah,Prince Said Ibrahim International Airport,Moroni Comoros,Prince Said Ibrahim International is named after the former President of Comoros and serves the capital city of Moroni. Its airport code comes from the village of Hahaya where it’s located.
413,haj,Flughafen Hannover-Langenhagen,Hannover Germany,"Located in the town of Langenhagen, Hannover Airport’s code combines its home in Hannover and German aviator Karl Jatho, who also lends his name to one of the terminals."
414,hak,Haikou Meilan International Airport,Haikou China,"Haikou Meilan International is the airport serving Haikou, the capital of Hainan Province, China."
415,ham,Flughafen Hamburg Helmut Schmidt,Hamburg Germany,"Hamburg Airport was opened in January of 1911 and serves Germany’s second-largest city, Hamburg."
416,han,Nội Bài International Airport,Hanoi Vietnam,"Opened in 1978, Noi Bai International gets its three-letter airport code from its home in the city of Hanoi."
417,haq,Hanimaadhoo International Airport,Hanimaadhoo Maldives,"Upgraded to an international airport in 2012, Hanimaadhoo Airport is located in Haa Dhaalu Atoll. Its airport code comes from the island of Hanimaadhoo, plus a helpful ‘Q’ as a filler letter."
418,hav,Aeropuerto José Martí,Havana Cuba,"Originally Rancho-Boyeros Airport, José Martí International is named after Cuban national hero and poet, José Martí. Its airport code honors its home in the city of Havana."
419,hdy,Hat Yai International Airport,Hat Yai Thailand,"Hat Yai International is an airport in southern Thailand near the city of Hat Yai. Its code comes from an alternate spelling, Haad Yai."
420,hel,Helsinki-Vantaan lentoasema,Helsinki Finland,"Located in the city of Vantaa, Finland’s busiest airport was originally built for the 1952 Summer Olympics in Helsinki."
421,her,"Heraklion International Airport, Nikos Kazantzakis",Heraklion Greece,"Often referred to as Nikos Kazantzakis Airport, Heraklion International is Greece’s second largest airport and serves the island of Crete."
422,hft,Hammerfest lufthavn,Hammerfest Norway,"Opened in 1974, Hammerfest Airport is Norway’s third-busiest regional airport and serves Hammerfest."
423,hga,Hargeisa Egal International Airport,Hargeisa Somalia,"Hargeisa Egal International is named after Muhammad Haji Ibrahim Egal, former Prime Minister of Somalia. Its airport code comes from its home in the city of Hargeisa."
424,hgh,Hangzhou Xiaoshan International Airport,Hangzhou China,"Originally opened in 2000 and replacing Hangzhou Jianqiao Airport, Hangzhou Xiaoshan International gets its airport code from its home in Hangzhou."
425,hgl,Flughafen Helgoland-Düne,Heligoland Germany,The Heligoland Airport is situated on the small island Düne near the main island Heligoland. It serves mainly small tourist flights towards Bremerhaven and Büsum.
426,hhn,Flughafen Frankfurt-Hahn,Kirchberg Germany,"Originally Hahn Air Base, Frankfurt–Hahn Airport gets its name and airport code from the nearby village of Hahn in Rhineland-Palatinate."
427,hir,Honiara International Airport,Honiara Solomon Islands,"Formerly known as Henderson Field after U.S. Marine Corps Major Lofton R. Henderson, Honiara International gets its airport code from the city of Honiara."
428,hkd,Hakodate Airport,Hakodate Japan,"Opened in 1961, Hakodate Airport gets its airport code from its home in the city of Hakodate."
429,hkg,Hong Kong International Airport,Hong Kong China,Hong Kong International is located on the island of Chek Lap Kok and is often called Chek Lap Kok Airport. Its three-letter airport code stands for Hong Kong.
430,hkt,Phuket International Airport,Phuket Thailand,Phuket International is an important gateway to Thailand for tourists visiting Phuket Island. It is Thailand’s third busiest airport.
431,hlp,Bandar Udara Halim Perdanakusuma,Jakarta Indonesia,"Halim Perdanakusuma International is Jakarta’s primary airport for military, private, and government flights. It is named after Air Vice-Marshal and national hero Abdul Halim Perdanakusuma for his service in World War II."
432,hmo,Aeropuerto Internacional General Ignacio Pesqueira García,Hermosillo SO Mexico,"Often called just Hermosillo Airport, General Ignacio Pesqueira García International is named after Ignacio Pesqueira, 19th century Mexican army general. Its airport code honors its home in the city of Hermosillo."
433,hnd,Tokyo International Airport,Tokyo Japan,"Up until 1952, the Tokyo Airport was officially named after Haneda, the former fishing town where it is now located. Many still call it the Haneda Airport."
434,hnl,Daniel K. Inouye International Airport,Honolulu HI USA,"Honolulu International was recently renamed to honor Daniel K. Inouye, U.S. Senator and Medal of Honor recipient. Its airport code honors its home in Honolulu."
435,hnm,Hana Airport,Hana HI USA,"Hana Airport is a single runway located near the town of Hana, on the east shore of Maui."
436,hof,Al-Ahsa International Airport,Hofuf Saudi Arabia,"Al-Ahsa International is a single runway airport that serves the city of Al-Ahsa, also known as Hofuf."
437,hog,Frank País Airport,Holguín Cuba,"Originally a postal airport which opened in 1943, Frank País Airport is now home to the Cuban Revolutionary Armed Forces Eastern Command. The airport gets its code from Holguín, the city in which it’s located."
438,hor,Aeroporto Internacional da Horta,Horta Azores Portugal,"Inaugurated in 1971 and rennovated in 2001, Horta International is located in Castelo Branco on Faial Island and serves the city of Horta."
439,hot,Memorial Field Airport,Hot Springs AR USA,Memorial Field Airport gets its three-letter airport code from the city of Hot Springs and serves the nearby Hot Springs National Park.
440,hou,William P. Hobby Airport,Houston TX USA,"Once named after aviator Howard Hughes, Houston’s oldest commercial airport was renamed in 1967 to honor former Texas governor William P. Hobby."
441,hov,"Ørsta–Volda lufthavn, Hovden",Ørsta Norway,"Ørsta–Volda Airport is located between the cities of Ørsta and Volda, but gets its three-letter code from the nearby villge of Hovden."
442,hph,Sân bay Quốc tế Cát Bi,Hai Phong Vietnam,"Undergoing rennovations in 2015, Cat Bi International gets its airport code from its home in Hai Phong."
443,hpn,Westchester County Airport,White Plains NY USA,"Built during World War II for the Air National Guard, Westchester County Airport gets its airport code from three Westchester towns: Harrison, Purchase, and North Castle."
444,hqm,Bowerman Airport,Hoquiam WA USA,"Originally built during World War II, Bowerman Airport is named after Lt. Robert C. Bowerman, U.S. Air Force pilot. Its airport code comes from its home in the city of Hoquiam."
445,hre,Harare International Airport,Harare Zimbabwe,"Opened in 1957 as Salisbury Airport, Harare International serves the city of Harare in Zimbabwe."
446,hrg,Hurghada International Airport,Hurghada Egypt,Hurghada International is the second busiest airport in Egypt and gets its three-letter code from its home in the city of Hurghada.
447,hri,Mattala Rajapaksa International Airport,Hambantota Sri Lanka,"Mattala Rajapaksa International is named after the Rajapaksas, a prominent political family. Its airport codes comes from its location near Hambantota, Sri Lanka."
448,hrl,Valley International Airport,Harlingen TX USA,"Formerly Harlingen Air Force Base, Valley International is now the second busiest airport in the Rio Grande Valley. Its three-letter code honors its home in Harlingen."
